Model,accuracy,precision,recall,f1
Logistic Regression,0.7848003101977511,0.7734170602965206,0.7848003101977511,0.775413605254079
Random Forest,0.9409331782344578,0.937612287807226,0.9409331782344578,0.9377916214442865
XGBoost,0.9944422902933954,0.9946681794977912,0.9944422902933954,0.9944035921411213
