Model,Accuracy,Precision,Recall,F1,ROC AUC,Top Class Accuracy
Logistic Regression,0.5833333333333334,0.5854735195360196,0.5833333333333334,0.5807097655254578,0.8653104791038666,0.559375
XGBoost,0.6699999999999999,0.680260813325531,0.6699999999999999,0.6674293270450137,0.946375820177946,0.7268749999999999
Random Forest,0.64,0.6430748598636211,0.64,0.6380777164711411,0.89566140349034,0.728125
